,ID,name,category,main_category,currency,deadline,launched,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,timeline,duration
66,1000252415,"Pantochino Productions: ""Cinderella Skeleton, the Musical""",Theater,Theater,USD,2011-07-08 00:00:00,2011-05-09 15:08:00,successful,144,US,15425.0,15425.0,15000.0,59,59
354,1001591110,Rocky Horror Saved My Life - A Fan Documentary,Documentary,Film & Video,USD,2013-11-01 00:00:00,2013-09-02 02:06:00,successful,665,US,66554.56,66554.56,50000.0,59,59
428,1002045558,Faithful: A Lesbian Mormon Story,Documentary,Film & Video,USD,2017-06-30 00:00:00,2017-05-01 17:16:00,successful,106,US,1635.0,14875.0,14500.0,59,59
548,1002646104,The Book Of Bare Bones 2,Illustration,Art,GBP,2016-09-30 00:00:00,2016-08-04 21:00:00,successful,141,GB,1251.3,3308.01,1296.24,56,56
648,1003138593,The Legendary Cobo,Documentary,Film & Video,USD,2012-08-06 00:00:00,2012-06-07 00:06:00,failed,150,US,11687.5,11687.5,45000.0,59,59
680,1003346672,Tenacious Exclusive Scott Tolleson Uncle Argh NOIR Mini Qee,Product Design,Design,USD,2012-05-02 00:00:00,2012-03-08 00:41:00,successful,156,US,8660.0,8660.0,7770.0,54,54
927,1004641424,45 LED Packlight - Lets You Bend Light Where You Need It,Product Design,Design,USD,2011-09-24 00:00:00,2011-07-26 18:03:00,successful,530,US,32766.9,32766.9,7000.0,59,59
932,1004668657,Moment: Make Your iPhone 7 A Better Camera,Product Design,Design,USD,2017-04-08 00:00:00,2017-02-07 17:50:00,successful,5149,US,269.0,767897.09,500000.0,59,59
1154,1005848496,The 1st Motion Tracking DIY Smart Home Security Camera,Gadgets,Technology,USD,2016-12-31 00:00:00,2016-11-01 02:54:00,successful,565,US,7235.0,81510.0,25000.0,59,59
1160,1005889641,NERO: RFID Blocking Wallet Leather or Kevlar + Carbon Fiber,Product Design,Design,GBP,2014-11-06 00:00:00,2014-09-12 15:52:00,successful,286,GB,10936.67,10686.09,790.98,54,54
1290,1006623404,The Club,Documentary,Film & Video,USD,2011-10-22 00:00:00,2011-08-23 17:49:00,successful,171,US,15827.0,15827.0,15000.0,59,59
1375,1007045506,Beach City Con: A Steven Universe Fan Convention,Festivals,Film & Video,USD,2016-10-31 00:00:00,2016-09-01 06:00:00,successful,264,US,9517.0,24056.0,7000.0,59,59
1565,1007988914,The Mines of Light,Children's Books,Publishing,USD,2014-10-14 00:00:00,2014-08-15 10:44:00,successful,505,US,121166.59,121166.59,75000.0,59,59
1603,100822204,Freedom Ride Jacket | Revolutionizing Urban Cycling,Product Design,Design,USD,2018-01-20 00:00:00,2017-11-21 15:02:00,live,474,US,15459.0,55135.0,20000.0,59,59
1658,1008500872,AdapDesk: The World's Best Portable Device Desk,Design,Design,USD,2017-05-13 00:00:00,2017-03-14 15:46:00,successful,1722,US,9702.0,324870.0,15000.0,59,59
1699,100872615,Land of a Thousand Bridges June Millington autobiography,Nonfiction,Publishing,USD,2014-09-11 00:00:00,2014-07-13 07:51:00,successful,311,US,30585.11,30585.11,25000.0,59,59
1752,1008990990,Welcome to TATE'S (comicbook fanmade webseries),Webseries,Film & Video,USD,2014-06-04 00:00:00,2014-04-05 23:14:00,successful,160,US,7389.0,7389.0,6525.0,59,59
1848,1009505053,The United States of Autism,Documentary,Film & Video,USD,2012-05-04 00:00:00,2012-03-05 22:02:00,successful,199,US,10550.0,10550.0,10000.0,59,59
1899,1009808881,Sweatpants That Look Like Dress Slacks: The Stealth Pant,Apparel,Fashion,HKD,2017-03-28 00:00:00,2017-01-27 09:56:00,successful,443,HK,6142.6,48443.34,25738.37,59,59
1910,1009851439,Tradition is a Temple: a motion picture of New Orleans music,Shorts,Film & Video,USD,2011-02-03 00:00:00,2010-11-05 19:56:00,successful,287,US,30752.0,30752.0,30650.0,89,89
2030,1010602030,Parecomic - a documentary graphic novel,Comics,Comics,USD,2012-04-23 00:00:00,2012-02-23 21:40:00,successful,143,US,8600.0,8600.0,8000.0,59,59
2193,1011468847,The Night Owl Society - Issue #1,Comics,Comics,USD,2014-01-11 00:00:00,2013-11-12 23:04:00,successful,155,US,5410.0,5410.0,4500.0,59,59
2210,1011559860,GINA: Smart coffee instrument / by GOAT STORY,Product Design,Design,USD,2016-12-17 00:00:00,2016-10-18 14:00:00,successful,2389,US,111992.0,501612.0,50000.0,59,59
2214,1011574171,UFHO2 - A Turn-based Strategy Game,Games,Games,USD,2012-02-11 00:00:00,2011-12-13 23:45:00,successful,316,US,10872.79,10872.79,10000.0,59,59
2301,101193204,F O N E (an un-performable symphony) Special Edition CD,Classical Music,Music,USD,2013-04-27 00:00:00,2013-02-26 01:28:00,successful,210,US,11315.66,11315.66,8500.0,59,59
2407,1012476244,Punnies,Art Books,Publishing,USD,2014-10-01 00:00:00,2014-08-03 04:30:00,successful,271,US,12023.0,12023.0,11000.0,58,58
2418,1012534180,When Reflection Isn't Enough. #BeBrighter,Product Design,Design,USD,2015-12-28 00:00:00,2015-10-29 14:59:00,successful,342,US,55867.0,55867.0,54000.0,59,59
2429,1012612441,Geek Dice,Tabletop Games,Games,USD,2013-04-06 00:00:00,2013-02-05 22:41:00,successful,560,US,22151.66,22151.66,15000.0,59,59
2430,1012613651,"The Rumpl Puffe-, A Portable Battery-Powered Heated Blanket",Product Design,Design,USD,2017-01-13 00:00:00,2016-11-15 08:19:00,successful,1297,US,10516.0,311730.42,20000.0,58,58
2466,1012775577,Henderson Brewing - Beer Meet Keg,Drinks,Food,CAD,2015-12-31 00:00:00,2015-11-02 22:32:00,successful,188,CA,42668.7,40199.51,39613.94,58,58
2561,1013187774,Global Empowerment Project,Film & Video,Film & Video,USD,2015-05-15 00:00:00,2015-03-16 20:12:00,successful,215,US,27149.0,27149.0,25000.0,59,59
2754,1014224916,Gomma Fashion: Laser Cut Accessories That Look Like A Tattoo,Fashion,Fashion,CAD,2014-01-18 00:00:00,2013-11-19 20:23:00,successful,147,CA,8072.6,7614.36,6327.97,59,59
3101,1016005900,Twig: the amazing ultra-portable cable for your iPhone,Product Design,Design,USD,2012-07-27 00:00:00,2012-05-28 23:23:00,successful,4726,US,168020.03,168020.03,50000.0,59,59
3133,101618485,FORTIFIED: Bike Seat Security with an Anti-theft Guarantee,Product Design,Design,USD,2015-06-01 00:00:00,2015-04-02 17:57:00,successful,658,US,28168.0,28168.0,8000.0,59,59
3136,1016190339,The T-Rex Ripper Staple and Nail Extractor (Canceled),Product Design,Design,USD,2015-02-21 00:00:00,2014-12-23 04:46:00,canceled,123,US,7792.0,7792.0,50000.0,59,59
3173,1016357821,XY - The secure iOS/Android Bluetooth tracking tag,Technology,Technology,USD,2014-04-21 00:00:00,2014-02-20 06:00:00,successful,4091,US,205121.59,205121.59,45000.0,59,59
3223,1016645441,The Men Of Narrow Fjord--A Collection by Derek Clarkson,Fashion,Fashion,USD,2012-02-03 00:00:00,2011-12-05 20:52:00,successful,106,US,5743.51,5743.51,5000.0,59,59
3227,1016661405,"X STAND-Multi-functional Laptop, Tablet, Smartphone Stand.",Product Design,Design,USD,2016-04-24 00:00:00,2016-02-24 16:51:00,successful,430,US,24836.9,24836.9,3500.0,59,59
3261,1016845672,Classical meets Jazz in an album to inspire young musicians.,Classical Music,Music,CAD,2013-12-09 00:00:00,2013-10-10 18:32:00,successful,163,CA,31337.96,30449.55,23463.16,59,59
3369,101738386,E.P release,Indie Rock,Music,GBP,2014-05-31 00:00:00,2014-04-01 09:30:00,successful,153,GB,2365.0,2392.57,1682.54,59,59
3425,1017621175,"American Aquarium - The Making of ""Burn.Flicker.Die.""",Music,Music,USD,2012-01-11 00:00:00,2011-11-12 16:29:00,successful,337,US,23968.5,23968.5,20000.0,59,59
3441,1017686466,House Kombucha: Bringin' It Fresh to YOU!,Food,Food,USD,2013-10-27 00:00:00,2013-08-28 19:46:00,successful,142,US,10076.0,10076.0,10000.0,59,59
3474,101788707,The World's Best Running Shorts,Apparel,Fashion,USD,2016-09-17 00:00:00,2016-07-19 16:55:00,successful,1129,US,245.0,69167.0,10000.0,59,59
3485,1017959030,Drive with Lynk,Technology,Technology,USD,2013-06-02 00:00:00,2013-03-26 03:27:00,failed,945,US,81060.67,81060.67,750000.0,67,67
3631,1018744136,21 Revolutions,Publishing,Publishing,GBP,2014-02-11 00:00:00,2013-12-13 16:12:00,successful,187,GB,9552.42,9756.22,8354.36,59,59
3727,1019277739,"Andy D Records his Third Album ""Warcries""",Pop,Music,USD,2011-12-20 00:00:00,2011-10-21 22:23:00,successful,107,US,5566.31,5566.31,5000.0,59,59
3733,1019293481,Seagull (Thinking of you) Premiering at COIL Festival 2013,Theater,Theater,USD,2012-11-23 00:00:00,2012-09-24 14:13:00,successful,130,US,7140.0,7140.0,7000.0,59,59
3866,1019877481,Watermelon Tears (Canceled),Shorts,Film & Video,USD,2013-01-11 00:00:00,2012-11-13 18:46:00,canceled,119,US,11703.84,11703.84,27500.0,58,58
4092,10210001,Imperial Crusade Armada: A Unique Space Combat Game,Tabletop Games,Games,USD,2011-11-16 00:00:00,2011-09-17 02:47:00,successful,217,US,8016.0,8016.0,2000.0,59,59
4109,1021105368,Kampf gegen das BÃ¼nzlitum,Tabletop Games,Games,CHF,2015-11-02 00:00:00,2015-09-03 09:44:00,successful,415,CH,26003.54,25079.5,15047.1,59,59
4120,1021188582,Island Fortress,Tabletop Games,Games,USD,2012-01-16 00:00:00,2011-11-19 00:45:00,successful,244,US,19829.0,19829.0,15000.0,57,57
4162,1021393426,MILE... MILE & A HALF (a feature documentary),Documentary,Film & Video,USD,2012-09-28 00:00:00,2012-07-30 09:10:00,successful,814,US,85405.41,85405.41,78100.0,59,59
4622,102361894,I'm Back. Raspberry Pi unique Case for your Analog Cameras,Camera Equipment,Technology,EUR,2016-10-03 00:00:00,2016-08-04 22:27:00,successful,105,IT,1219.87,7092.81,2227.99,59,59
4642,1023678946,THE BIG BEAT: The Story Of Fats Domino & His Band,Documentary,Film & Video,USD,2013-10-14 00:00:00,2013-08-15 17:22:00,successful,209,US,23062.0,23062.0,20000.0,59,59
4733,1024096554,"ZiPAC : Cable and Case in One for iPhone, Android and More",Product Design,Design,CAD,2014-01-26 00:00:00,2013-11-27 00:46:00,failed,289,CA,8386.34,7900.85,40196.52,59,59
4755,1024192369,The Ultimate innovation for travelers....,Product Design,Design,EUR,2017-08-26 00:00:00,2017-06-27 09:24:00,successful,104,IT,651.64,3310.17,1191.99,59,59
4761,1024241943,Terroir New Music: The Inaugural Season,Classical Music,Music,USD,2017-12-30 00:00:00,2017-11-06 05:08:00,successful,203,US,399.0,10255.0,10000.0,53,53
4915,1025108403,Gray Matter,Film & Video,Film & Video,USD,2012-01-21 00:00:00,2011-11-27 18:01:00,successful,128,US,10600.0,10600.0,9500.0,54,54
5132,1026200446,Last call on 'Grand Street' (Feature Film),Narrative Film,Film & Video,USD,2012-01-28 00:00:00,2011-12-01 23:37:00,successful,203,US,26293.95,26293.95,20000.0,57,57
5271,1026888869,Redshirts: A Starfinder Adventure Path (Levels 1-3),Tabletop Games,Games,USD,2017-09-02 00:00:00,2017-07-04 00:49:00,successful,304,US,570.0,7783.0,1000.0,59,59
5299,1026993968,Andromeda PC/Steam/PS4/Xbox One,Video Games,Games,EUR,2016-07-15 00:00:00,2016-05-16 23:15:00,failed,493,ES,12649.28,15204.26,33384.15,59,59
5521,1028259978,Keplero Luxury Wallet - Strong RFID-Blocking,Gadgets,Technology,USD,2015-08-29 00:00:00,2015-06-30 06:01:00,successful,3792,US,582634.0,582634.0,10000.0,59,59
5762,1029523558,The Hipp Goes Digital,Film & Video,Film & Video,USD,2013-09-20 00:00:00,2013-07-22 15:27:00,successful,173,US,16957.34,16957.34,15000.0,59,59
6020,1030812989,Fund a new Deadly awards!,Music,Music,AUD,2014-09-15 00:00:00,2014-07-23 02:16:00,failed,153,AU,6266.71,6011.85,44871.22,53,53
6093,1031125022,Rich Mullins: A Ragamuffin's Legacy (a feature length film),Narrative Film,Film & Video,USD,2011-06-24 00:00:00,2011-03-25 14:40:00,failed,214,US,32190.0,32190.0,90000.0,90,90
6133,1031328397,Chocolate! Handmade From Bean To Bar.,Food,Food,USD,2011-07-10 00:00:00,2011-04-11 22:33:00,failed,123,US,13306.0,13306.0,20000.0,89,89
6268,1032023943,Super Dwarf Madness,Video Games,Games,USD,2013-11-12 00:00:00,2013-09-13 23:55:00,failed,115,US,5900.0,5900.0,12000.0,59,59
6305,1032210830,Dr. Shocker's Vault of Horror,Documentary,Film & Video,USD,2012-12-25 00:00:00,2012-10-26 22:32:00,successful,110,US,12850.0,12850.0,9999.0,59,59
6349,1032478229,Help make a feature film noir! - Old Chicago Souls,Narrative Film,Film & Video,USD,2012-02-01 00:00:00,2011-12-11 08:42:00,successful,117,US,10416.0,10416.0,10000.0,51,51
6501,1033185321,MNML Wallet - The World's Slimmest RFID Leather Wallet,Product Design,Design,CAD,2017-09-08 00:00:00,2017-07-10 11:08:00,successful,153,CA,789.75,24302.97,20683.38,59,59
6602,1033660020,Dongers: A Wisconsin Thing,Food Trucks,Food,USD,2015-05-08 00:00:00,2015-03-09 05:35:00,successful,110,US,12662.0,12662.0,12000.0,59,59
6608,1033684553,MusicDNA - Unique Music Memorabilia,Digital Art,Art,GBP,2014-06-22 00:00:00,2014-04-23 22:19:00,successful,151,GB,6318.11,6407.66,851.63,59,59
6725,1034234910,"Koze - Lightweight, Inflatable, and Amazing Comfort Anywhere",Product Design,Design,USD,2016-06-12 00:00:00,2016-04-13 00:43:00,suspended,1806,US,132536.0,132536.0,4000.0,59,59
6834,1034746373,THESIS WATCHES - Make a Statement,Product Design,Design,USD,2015-11-22 00:00:00,2015-09-23 14:46:00,successful,280,US,45386.0,45386.0,45000.0,59,59
6918,1035140659,Bring the Seahawk Mask to Seattle,Art,Art,USD,2014-11-10 00:00:00,2014-09-15 00:13:00,successful,352,US,14653.44,14653.44,14575.0,55,55
7111,1036103643,Wine and Alchemy - we have a World of music to share,World Music,Music,USD,2014-09-06 00:00:00,2014-07-08 22:36:00,successful,272,US,9046.0,9046.0,5000.0,59,59
7137,1036288991,The Liaisons:  a new twist on the old standards,Jazz,Music,USD,2016-01-01 00:00:00,2015-11-09 20:12:00,successful,116,US,5630.0,5630.0,5000.0,52,52
7356,1037281697,Shift of the Ages: The Maya on 2012 and our future,Documentary,Film & Video,USD,2011-06-14 00:00:00,2011-04-23 23:23:00,failed,271,US,34656.46,34656.46,125000.0,51,51
7394,103742833,"do right card, pay it forward tracker",Product Design,Design,USD,2013-10-05 00:00:00,2013-08-06 02:30:00,failed,104,US,1163.0,1163.0,15000.0,59,59
7422,1037569159,Cakestarter,Food,Food,USD,2010-05-03 00:00:00,2010-02-27 23:16:00,successful,163,US,7609.33,7609.33,7500.0,64,64
7444,1037684391,American Nomad is Making an Album Produced By Laurie Lewis!,Country & Folk,Music,USD,2013-07-05 00:00:00,2013-05-06 21:31:00,successful,150,US,10025.0,10025.0,8500.0,59,59
7457,1037748141,Denali Solo Winter Ascent & 25 Years of Arctic Exploration,Documentary,Film & Video,USD,2013-01-23 00:00:00,2012-11-24 20:42:00,successful,130,US,13498.0,13498.0,9000.0,59,59
7479,1037879037,New Living Wall Planters - Grow Your Own Veggies,Food,Food,USD,2015-11-03 00:00:00,2015-09-04 04:53:00,successful,156,US,12953.0,12953.0,11700.0,59,59
7499,1037997513,The Laptop Stand You've Been Waiting For | The Tiny Tower,Product Design,Design,USD,2016-10-24 00:00:00,2016-08-25 02:24:00,successful,1416,US,46555.0,156076.0,35000.0,59,59
7586,1038362657,Portland's Pulp & Deckle Papermaking Studio is Going Mobile,Art,Art,USD,2016-08-04 00:00:00,2016-06-06 06:11:00,successful,101,US,2384.0,11688.0,10500.0,58,58
7608,1038447872,"Hope Hymns, Volume 1",Music,Music,USD,2012-04-01 00:00:00,2012-02-01 15:51:00,successful,286,US,18027.0,18027.0,14800.0,59,59
7668,1038725951,"X-Treme Beanbag Billiards Toss - ""The Next Generation""",Mobile Games,Games,USD,2015-08-30 00:00:00,2015-07-01 06:10:00,canceled,114,US,24985.0,24985.0,25000.0,59,59
7717,1038942601,Bring Paris to Baton Rouge!,Art,Art,USD,2015-01-13 00:00:00,2014-11-14 20:09:00,successful,125,US,15371.0,15371.0,15000.0,59,59
7758,1039143181,Peace Through Pyramids,Performance Art,Art,USD,2012-06-16 00:00:00,2012-04-17 17:31:00,successful,167,US,21716.0,21716.0,20000.0,59,59
7788,1039282542,Piqapoo - The best way to collect dog poop - hands-free!,Product Design,Design,USD,2016-12-31 00:00:00,2016-11-01 18:35:00,successful,650,US,19687.0,35910.0,15000.0,59,59
7822,1039457373,Triatholight with Cree! The Longest Lasting Emergency Light!,Gadgets,Technology,USD,2015-11-14 00:00:00,2015-09-15 18:00:00,successful,132,US,6144.0,6144.0,5000.0,59,59
7929,1039972904,Buzz & Growl - Cleveland's New Fashion Incubator,Fashion,Fashion,USD,2010-12-06 00:00:00,2010-10-07 15:43:00,successful,139,US,11002.25,11002.25,10000.0,59,59
7999,1040361349,The FLOTE iPad stand floats your device for hands-free use.,Product Design,Design,USD,2012-01-14 00:00:00,2011-11-15 03:09:00,successful,162,US,33356.0,33356.0,30000.0,59,59
8148,104117858,Especially Mysterious Letters,Conceptual Art,Art,USD,2011-01-31 00:00:00,2010-12-05 16:23:00,successful,122,US,3956.0,3956.0,2000.0,56,56
8203,1041466445,"Melissa Crabtree C.D. Project  ""The Day I Fell in the Water""",Country & Folk,Music,USD,2012-01-21 00:00:00,2011-11-22 18:35:00,successful,234,US,11788.22,11788.22,10800.0,59,59
8600,1043385803,ORA Smart Glass,Wearables,Technology,USD,2014-10-28 00:00:00,2014-08-29 10:59:00,successful,224,US,104656.0,104656.0,100000.0,59,59
8770,1044281605,Digital or Die: A Campaign for The Historic Polk Theatre,Movie Theaters,Film & Video,USD,2015-06-29 00:00:00,2015-05-01 08:00:00,failed,180,US,18102.0,18102.0,82000.0,58,58
8801,1044443584,The Barry Lopez Visiting Writer in Ethics and Community,Academic,Publishing,USD,2015-03-02 00:00:00,2015-01-01 21:07:00,successful,192,US,30111.0,30111.0,25000.0,59,59
8908,1044957815,LidSitter - A Brand New Way to Organize Your Kitchen!,Product Design,Design,USD,2016-04-15 00:00:00,2016-02-15 17:50:00,successful,628,US,29783.0,29783.0,3500.0,59,59
9020,1045572352,"Get ""At Sundown"" to the Edinburgh Fringe",Theater,Theater,USD,2010-05-30 00:00:00,2010-03-08 02:04:00,successful,112,US,6610.0,6610.0,6600.0,82,82
9026,104559525,Asian Elephant Conservation Documentary ,Documentary,Film & Video,USD,2010-03-07 00:00:00,2009-12-07 19:22:00,successful,152,US,10710.0,10710.0,10000.0,89,89
9221,1046582363,Fate Core,Tabletop Games,Games,USD,2013-01-30 00:00:00,2012-12-04 05:57:00,successful,10103,US,433365.57,433365.57,3000.0,56,56
9239,1046656674,RhinoBoss Virtual: A Fun New Way To Workout At Home,Product Design,Design,USD,2015-03-20 00:00:00,2015-01-19 17:14:00,successful,304,US,61622.0,61622.0,50000.0,59,59
9272,104679357,Third Down - Some secrets aren't worth keeping,Shorts,Film & Video,USD,2010-12-27 00:00:00,2010-09-28 22:54:00,successful,106,US,8016.0,8016.0,8000.0,89,89
9290,104690185,The Simon Keith Story,Nonfiction,Publishing,USD,2011-12-23 00:00:00,2011-10-24 19:31:00,successful,164,US,26185.0,26185.0,25000.0,59,59
9315,1047011024,"Let's finish Uncle Green/3 Lb Thrill's last record, Rycopa!",Rock,Music,USD,2011-08-13 00:00:00,2011-06-14 13:18:00,successful,122,US,6899.0,6899.0,4000.0,59,59
